geneid,external_gene_name,entrezgene_id,pvalue.pef,pvalue.ref,pvalue.pef.ref,padj.pef,padj.ref,padj.pef.ref,l2fc.pef,l2fc.ref,l2fc.pef.ref,control_median,hfpef_median,hfref_median,z.pos.pef,z.pos.ref,description
ENSG00000105643,ARRDC2,27106,7.00127E-51,1.30127E-41,0.536616534,2.3253E-48,4.02033E-39,0.603841322,-1.409621658,-1.354744037,-0.054877621,692,281,253,-15.00315315,-13.51353103,arrestin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25225]
ENSG00000138356,AOX1,316,9.55683E-51,1.01089E-56,0.031696497,3.09664E-48,7.89981E-54,0.05187729,-3.181687503,-3.618380748,0.436693245,451,42,34,-14.98249006,-15.87071109,aldehyde oxidase 1 [Source:HGNC Symbol;Acc:HGNC:553]
ENSG00000163812,ZDHHC3,51304,1.14799E-50,3.30223E-29,0.001375844,3.6312E-48,3.27389E-27,0.003138407,-0.558076612,-0.445778902,-0.11229771,1776.5,1273,1325.5,-14.97030195,-11.21866347,zinc finger DHHC-type containing 3 [Source:HGNC Symbol;Acc:HGNC:18470]
ENSG00000172346,CSDC2,27254,1.41521E-50,2.30864E-40,0.402311348,4.37234E-48,5.89812E-38,0.474578783,-1.431245298,-1.356277342,-0.074967956,11723,4545,4305.5,-14.95637836,-13.30019555,cold shock domain containing C2 [Source:HGNC Symbol;Acc:HGNC:30359]
ENSG00000159640,ACE,1636,4.83345E-50,2.27328E-39,0.318572555,1.45937E-47,5.11873E-37,0.390211727,2.436385673,2.28678199,0.149603684,56.5,326,283,14.87439356,13.1280866,angiotensin I converting enzyme [Source:HGNC Symbol;Acc:HGNC:2707]
ENSG00000075413,MARK3,4140,5.55368E-50,5.17937E-67,0.00013451,1.63957E-47,7.64532E-64,0.000384971,-1.017475687,-1.262454955,0.244979268,4712,2341,1985,-14.86509407,-17.29445146,microtubule affinity regulating kinase 3 [Source:HGNC Symbol;Acc:HGNC:6897]
ENSG00000075426,FOSL2,2355,7.50987E-50,0.000109208,1.90721E-30,2.16888E-47,0.000392328,8.73701E-28,-1.896042688,-0.526086619,-1.369956069,3426,919,2247,-14.84487142,-3.869166322,"FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]"
ENSG00000026950,BTN3A1,11119,2.41248E-49,7.98963E-15,2.89842E-12,6.81909E-47,1.64562E-13,4.07035E-11,1.812034334,1.016801667,0.795232667,181.5,721,344.5,14.76640346,7.76774404,butyrophilin subfamily 3 member A1 [Source:HGNC Symbol;Acc:HGNC:1138]
ENSG00000144909,OSBPL11,114885,3.93407E-49,1.52446E-21,1.1032E-06,1.08884E-46,6.95961E-20,4.90494E-06,-1.072454197,-0.738565946,-0.333888251,858,417,516.5,-14.7333996,-9.533242259,oxysterol binding protein like 11 [Source:HGNC Symbol;Acc:HGNC:16397]
ENSG00000172819,RARG,5916,4.56142E-49,1.09189E-12,1.43632E-14,1.2367E-46,1.63537E-11,3.38325E-13,1.141728881,0.590224138,0.551504743,214.5,465,292,14.72339949,7.11839822,retinoic acid receptor gamma [Source:HGNC Symbol;Acc:HGNC:9866]
ENSG00000103196,CRISPLD2,83716,4.91895E-49,8.96288E-23,5.51512E-06,1.30696E-46,4.68787E-21,2.09698E-05,-1.976830463,-1.404991177,-0.571839286,1936,486,669,-14.71829666,-9.823007581,cysteine rich secretory protein LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25248]
ENSG00000136160,EDNRB,1910,1.50253E-48,1.58403E-34,0.0910411,3.91395E-46,2.53541E-32,0.132400768,-1.836747556,-1.63811235,-0.198635206,2517.5,745,723,-14.64258156,-12.25476729,endothelin receptor type B [Source:HGNC Symbol;Acc:HGNC:3180]
ENSG00000103404,USP31,57478,2.3686E-48,1.06404E-24,8.62337E-05,6.05131E-46,7.32425E-23,0.000255832,-1.218320486,-0.911279583,-0.307040903,1825.5,757,1016,-14.61160826,-10.26027412,ubiquitin specific peptidase 31 [Source:HGNC Symbol;Acc:HGNC:20060]
ENSG00000133687,TMTC1,83857,2.57262E-48,1.33292E-58,0.005449569,6.44855E-46,1.26485E-55,0.010747852,-1.264668802,-1.490193406,0.225524604,4292.5,1777,1427.5,-14.6059784,-16.14011515,transmembrane O-mannosyltransferase targeting cadherins 1 [Source:HGNC Symbol;Acc:HGNC:24099]
ENSG00000095587,TLL2,7093,7.51701E-48,4.59077E-38,0.384670046,1.84932E-45,9.52943E-36,0.457342183,1.745061014,1.648628099,0.096432914,163.5,566,517.5,14.53272455,12.89847763,tolloid like 2 [Source:HGNC Symbol;Acc:HGNC:11844]
ENSG00000115604,IL18R1,8809,1.01081E-47,1.20702E-44,0.606897262,2.44157E-45,4.58152E-42,0.668210685,-2.305077191,-2.383318442,0.078241251,260,56,53.5,-14.51242608,-14.01816071,interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]
ENSG00000140564,FURIN,5045,1.31688E-47,3.05981E-25,0.00024728,3.12405E-45,2.22129E-23,0.000665002,-0.798554601,-0.609319147,-0.189235453,3258,1950,2174.5,-14.49427391,-10.37993575,"furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]"
ENSG00000107862,GBF1,8729,3.00769E-47,1.89558E-15,1.82467E-10,7.01003E-45,4.21823E-14,1.77328E-09,-0.677592951,-0.397282073,-0.280310879,3429.5,2230,2629,-14.43744913,-7.947992323,golgi brefeldin A resistant guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:4181]
ENSG00000147459,DOCK5,80005,4.56988E-47,3.06267E-09,5.20822E-18,1.04674E-44,2.6267E-08,2.2248E-16,-1.072855841,-0.469778925,-0.603076916,2200.5,1030,1497.5,-14.40858327,-5.928203528,dedicator of cytokinesis 5 [Source:HGNC Symbol;Acc:HGNC:23476]
ENSG00000166401,SERPINB8,5271,9.24549E-47,4.65001E-12,1.10346E-13,2.0818E-44,6.25256E-11,2.12455E-12,-1.658372125,-0.836342253,-0.822029872,124.5,39,64,-14.35982908,-6.915870032,serpin family B member 8 [Source:HGNC Symbol;Acc:HGNC:8952]
ENSG00000204366,ZBTB12,221527,1.21236E-46,2.68335E-52,0.050169932,2.68436E-44,1.54993E-49,0.078191876,1.193467738,1.325613776,-0.132146038,29,69,74,14.34103403,15.21806892,zinc finger and BTB domain containing 12 [Source:HGNC Symbol;Acc:HGNC:19066]
ENSG00000159166,LAD1,3898,1.3482E-45,5.31029E-22,2.84383E-05,2.93621E-43,2.53767E-20,9.32616E-05,-3.40562268,-2.448862349,-0.956760331,147,17,35.5,-14.1728978,-9.642076103,ladinin 1 [Source:HGNC Symbol;Acc:HGNC:6472]
ENSG00000087274,ADD1,118,4.98827E-45,1.8403E-25,0.001535061,1.06886E-42,1.38126E-23,0.003468837,-0.419877558,-0.331394935,-0.088482623,7746,5762,5985,-14.08074283,-10.42836371,adducin 1 [Source:HGNC Symbol;Acc:HGNC:243]
ENSG00000165476,REEP3,221035,5.80257E-45,4.11038E-14,1.43113E-10,1.22361E-42,7.56321E-13,1.4231E-09,-0.786677749,-0.449476043,-0.337201706,995.5,599,696.5,-14.07005326,-7.557453285,receptor accessory protein 3 [Source:HGNC Symbol;Acc:HGNC:23711]
ENSG00000157150,TIMP4,7079,9.18106E-45,5.54509E-49,0.075625482,1.90579E-42,2.83333E-46,0.112405967,-2.202985676,-2.466092219,0.263106543,816.5,170,147,-14.0375672,-14.71019077,TIMP metallopeptidase inhibitor 4 [Source:HGNC Symbol;Acc:HGNC:11823]
ENSG00000178878,APOLD1,81575,1.64043E-44,0.094987924,7.24052E-64,3.35279E-42,0.15298918,9.61903E-60,-2.777706223,0.352680504,-3.130386727,2750.5,507,3178,-13.99636761,1.669653575,apolipoprotein L domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25268]
ENSG00000188257,PLA2G2A,5320,2.12941E-44,2.74845E-36,0.543628166,4.28624E-42,4.86842E-34,0.610232378,-5.012661531,-4.808067334,-0.204594197,1348.5,39,52,-13.97780977,-12.57918665,phospholipase A2 group IIA [Source:HGNC Symbol;Acc:HGNC:9031]
ENSG00000134253,TRIM45,80263,2.54091E-44,7.99687E-13,1.00309E-11,5.03821E-42,1.21277E-11,1.27035E-10,1.34256251,0.734608193,0.607954316,278,775,446,13.96522791,7.161208818,tripartite motif containing 45 [Source:HGNC Symbol;Acc:HGNC:19018]
ENSG00000091527,CDV3,55573,3.18492E-44,7.68247E-05,2.25081E-25,6.2223E-42,0.000286009,4.33363E-23,-0.603209599,-0.182069079,-0.42114052,5778.5,3917,5023,-13.94912435,-3.954095718,CDV3 homolog [Source:HGNC Symbol;Acc:HGNC:26928]
ENSG00000011405,PIK3C2A,5286,6.96119E-44,1.71781E-23,0.000526675,1.34028E-41,1.03263E-21,0.001324916,-0.820891691,-0.628781486,-0.192110205,2379.5,1336,1511,-13.89324184,-9.988136505,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha [Source:HGNC Symbol;Acc:HGNC:8971]
ENSG00000035403,VCL,7414,1.08495E-43,7.78677E-07,3.71289E-20,2.05909E-41,4.39827E-06,2.44187E-18,-1.299039465,-0.493300793,-0.805738672,18494,7861,12943,-13.86142718,-4.940637203,vinculin [Source:HGNC Symbol;Acc:HGNC:12665]
ENSG00000185614,INKA1,389119,1.23164E-43,2.20943E-14,6.95121E-11,2.30455E-41,4.21122E-13,7.28287E-10,1.738298418,1.030610052,0.707688366,17,66,35.5,13.85232282,7.637812962,inka box actin regulator 1 [Source:HGNC Symbol;Acc:HGNC:32480]
ENSG00000221869,CEBPD,1052,2.40932E-43,4.10637E-07,2.44126E-19,4.44552E-41,2.45072E-06,1.36844E-17,-2.21060579,-0.861278307,-1.349327483,693.5,155,335,-13.80404883,-5.063959434,CCAAT enhancer binding protein delta [Source:HGNC Symbol;Acc:HGNC:1835]
ENSG00000131626,PPFIA1,8500,6.74597E-43,1.75592E-13,3.72206E-10,1.22767E-40,2.96033E-12,3.4291E-09,-0.557732236,-0.318477174,-0.239255061,1449.5,999,1151.5,-13.7296488,-7.366176119,PTPRF interacting protein alpha 1 [Source:HGNC Symbol;Acc:HGNC:9245]
ENSG00000177464,GPR4,2828,9.77571E-43,1.98647E-09,5.75912E-15,1.755E-40,1.75351E-08,1.48933E-13,-1.740287997,-0.808227849,-0.932060148,410,145,243,-13.70274528,-5.998909187,G protein-coupled receptor 4 [Source:HGNC Symbol;Acc:HGNC:4497]
ENSG00000101347,SAMHD1,25939,1.38423E-42,2.40893E-49,0.027244592,2.45192E-40,1.2801E-46,0.045436154,-1.362661701,-1.568963489,0.206301788,2793,1049,929.5,-13.67747171,-14.76650273,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:15925]
ENSG00000186575,NF2,4771,1.21885E-41,2.32849E-08,6.78636E-16,2.13058E-39,1.75462E-07,2.08214E-14,-0.640271865,-0.281363776,-0.358908089,1424,915,1177,-13.5183462,-5.585634418,neurofibromin 2 [Source:HGNC Symbol;Acc:HGNC:7773]
ENSG00000185010,F8,2157,1.56547E-41,5.12185E-41,0.395489695,2.70094E-39,1.38865E-38,0.467736187,-1.298387091,-1.374880834,0.076493743,6108.5,2368,2235.5,-13.49991957,-13.41230958,coagulation factor VIII [Source:HGNC Symbol;Acc:HGNC:3546]
ENSG00000143570,SLC39A1,27173,1.66055E-41,2.09701E-22,0.000914871,2.82825E-39,1.04812E-20,0.002175808,-0.580511639,-0.446332662,-0.134178978,1464.5,994,1091.5,-13.49557491,-9.736976617,solute carrier family 39 member 1 [Source:HGNC Symbol;Acc:HGNC:12876]
ENSG00000180616,SSTR2,6752,1.88248E-41,9.97541E-25,0.007051308,3.16566E-39,6.90226E-23,0.013570423,-2.64854636,-2.137661589,-0.510884771,118.5,18,23.5,-13.48632696,-10.26650414,somatostatin receptor 2 [Source:HGNC Symbol;Acc:HGNC:11331]
ENSG00000136997,MYC,4609,2.49722E-41,0.812216377,3.03126E-45,4.14695E-39,0.86394214,8.05406E-42,-2.435089761,-0.045402768,-2.389686993,380,69,341,-13.46547064,-0.237567736,"MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]"
ENSG00000100644,HIF1A,3091,2.71697E-41,4.88838E-05,1.66897E-22,4.45616E-39,0.000190223,1.75971E-20,-0.683284557,-0.219401301,-0.463883257,2906.5,1743,2298,-13.45923985,-4.060900329,hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]
ENSG00000109606,DHX15,1665,2.83103E-41,7.81528E-22,0.000604491,4.58662E-39,3.65585E-20,0.001496582,-0.459084531,-0.349140359,-0.109944172,2331.5,1726,1816.5,-13.45620062,-9.60233586,DEAH-box helicase 15 [Source:HGNC Symbol;Acc:HGNC:2738]
ENSG00000120729,MYOT,9499,4.91212E-41,2.71062E-16,5.25743E-07,7.86235E-39,6.7562E-15,2.5079E-06,-2.161370905,-1.403100694,-0.758270211,562,187,288.5,-13.4154096,-8.185550444,myotilin [Source:HGNC Symbol;Acc:HGNC:12399]
ENSG00000166226,CCT2,10576,5.22675E-41,8.50116E-13,6.14359E-10,8.26635E-39,1.28339E-11,5.4018E-09,-0.856797002,-0.486686757,-0.370110246,3079.5,1731,2074.5,-13.41080628,-7.1528223,chaperonin containing TCP1 subunit 2 [Source:HGNC Symbol;Acc:HGNC:1615]
ENSG00000167861,HID1,283987,7.60181E-41,7.44241E-09,7.69207E-15,1.18812E-38,6.01048E-08,1.90651E-13,0.940171059,0.434721131,0.505449928,218.5,426,263.5,13.38299805,5.780623908,HID1 domain containing [Source:HGNC Symbol;Acc:HGNC:15736]
ENSG00000077684,JADE1,79960,8.43948E-41,3.08826E-12,2.23347E-10,1.3037E-38,4.2737E-11,2.13466E-09,-0.707980039,-0.392926355,-0.315053684,1625,1068,1287.5,-13.37522777,-6.973648047,jade family PHD finger 1 [Source:HGNC Symbol;Acc:HGNC:30027]
ENSG00000184205,TSPYL2,64061,9.11924E-41,9.5345E-22,0.00074404,1.39252E-38,4.42888E-20,0.001807713,-1.187657659,-0.906783638,-0.28087402,1828.5,830,898,-13.36946664,-9.58182501,TSPY like 2 [Source:HGNC Symbol;Acc:HGNC:24358]
ENSG00000131386,GALNT15,117248,1.00004E-40,8.63709E-54,0.000880525,1.50971E-38,5.73719E-51,0.002099904,-2.395966529,-2.957018924,0.561052396,1412.5,220,159,-13.36260395,-15.44127862,polypeptide N-acetylgalactosaminyltransferase 15 [Source:HGNC Symbol;Acc:HGNC:21531]
ENSG00000213699,SLC35F6,54978,1.14652E-40,3.19604E-06,3.629E-19,1.71141E-38,1.59322E-05,1.96781E-17,-0.684381554,-0.253535139,-0.430846415,915.5,561,705,-13.35242674,-4.657801602,solute carrier family 35 member F6 [Source:HGNC Symbol;Acc:HGNC:26055]
ENSG00000165209,STRBP,55342,3.23118E-40,5.30124E-31,0.333560922,4.76958E-38,6.07129E-29,0.405067384,-0.806102183,-0.750452008,-0.055650176,655.5,369,381,-13.27503548,-11.57842283,spermatid perinuclear RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16462]
ENSG00000051382,PIK3CB,5291,3.39824E-40,1.52392E-25,0.023090188,4.96106E-38,1.1503E-23,0.03926189,-0.625180198,-0.524562832,-0.100617366,1687.5,1131,1135,-13.2712587,-10.44627624,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]"
ENSG00000173545,ZNF622,90441,3.55217E-40,2.21836E-23,0.004713677,5.12941E-38,1.30982E-21,0.009420972,-0.747756673,-0.598323567,-0.149433106,2114,1258,1395,-13.26793894,-9.962751617,zinc finger protein 622 [Source:HGNC Symbol;Acc:HGNC:30958]
ENSG00000174640,SLCO2A1,6578,5.1295E-40,1.72194E-16,1.85253E-06,7.32746E-38,4.37399E-15,7.83095E-06,-2.327946302,-1.541840464,-0.786105838,904.5,194,310,-13.24037079,-8.240011662,solute carrier organic anion transporter family member 2A1 [Source:HGNC Symbol;Acc:HGNC:10955]
